count,1,2,3,4,5,6,7,person,amount
214,5,7,20,25,28,37,32,8,"1,406,980,875"
215,2,3,7,15,43,44,4,7,"1,587,689,615"
216,7,16,17,33,36,40,1,13,"848,506,108"
217,16,20,27,33,35,39,38,7,"1,611,246,172"
218,1,8,14,18,29,44,20,4,"2,779,075,800"
219,4,11,20,26,35,37,16,9,"1,208,409,167"
220,5,11,19,21,34,43,31,6,"1,958,094,950"
221,2,20,33,35,37,40,10,6,"1,800,104,250"
222,5,7,28,29,39,43,44,5,"2,275,193,820"
223,1,3,18,20,26,27,38,7,"1,498,170,600"
224,4,19,26,27,30,42,7,6,"1,808,969,950"
225,5,11,13,19,31,36,7,6,"1,777,201,800"
226,2,6,8,14,21,22,34,6,"1,744,100,150"
227,4,5,15,16,22,42,2,2,"5,253,542,400"
228,17,25,35,36,39,44,23,9,"1,146,700,334"
229,4,5,9,11,23,38,35,7,"1,451,441,100"
230,5,11,14,29,32,33,12,8,"1,292,929,163"
231,5,10,19,31,44,45,27,9,"1,088,365,900"
232,8,9,10,12,24,44,35,9,"1,110,918,400"
233,4,6,13,17,28,40,39,10,"999,153,750"
234,13,21,22,24,26,37,4,4,"2,519,743,875"
235,21,22,26,27,31,37,8,3,"3,433,330,100"
236,1,4,8,13,37,39,7,2,"5,030,040,150"
237,1,11,17,21,24,44,33,7,"1,440,630,729"
238,2,4,15,28,31,34,35,9,"1,121,660,567"
239,11,15,24,39,41,44,7,9,"1,134,140,167"
240,6,10,16,40,41,43,21,2,"5,098,251,450"
241,2,16,24,27,28,35,21,4,"2,552,016,300"
242,4,19,20,21,32,34,43,8,"1,234,542,375"
243,2,12,17,19,28,42,34,4,"2,408,850,000"
244,13,16,25,36,37,38,19,1,"9,121,583,100"
245,9,11,27,31,32,38,22,7,"1,382,583,129"
246,13,18,21,23,26,39,15,5,"1,911,774,240"
247,12,15,28,36,39,40,13,6,"1,669,313,900"
248,3,8,17,23,38,45,13,8,"1,227,479,363"
249,3,8,27,31,41,44,11,6,"1,663,568,700"
250,19,23,30,37,43,45,38,5,"1,994,726,280"
251,6,7,19,25,28,38,45,8,"1,282,616,400"
252,14,23,26,31,39,45,28,7,"1,391,089,715"
253,8,19,25,31,34,36,33,4,"2,466,189,525"
254,1,5,19,20,24,30,27,1,"9,741,015,900"
255,1,5,6,24,27,42,32,6,"1,598,618,550"
256,4,11,14,21,23,43,32,2,"4,891,017,000"
